iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
TCA,LCN,Turks and Caicos Islands,HIC,,22,21,8,2,32,16,,,,,,Yes,Yes,,34900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,SSF,Chad,LIC,12642608725,70,1,2,18,3,6,,,,,,,,,11887202,,,8800,,,,1358851,,,,,,,,,,,,,,,,,,,,,,,,
TGO,SSF,Togo,LIC,4264876064,38,2,4,42,4,10,,,,,Yes,Yes,No,,7228915,,,6400,1900,,,1109030,,,,,,,,,,,,,,2,,,,96,,2,,,,
THA,EAS,Thailand,UMC,407014670810,66,3,2,5,8,18,0,1,,,Yes,Yes,Yes,,68657600,82230000,1100000,384233,3445000,37400000,53868,26853366,,,,6,,,,,,,,37,,,,0,27,54,,19,,,,
TJK,ECS,Tajikistan,LIC,8458800788,,,,,,,,,,No,Yes,Yes,Yes,,8177809,,,,,,,1787400,,,,,,,38,,,,,,,,,,,100,,,,,,
TKM,ECS,Turkmenistan,UMC,39563379206,16,5,11,63,,2,,3,,No,Yes,Yes,Yes,,5366277,,,22000,1000,32300,,500000,,,,,,,,,,,,,,,,,100,,,,,,,Disposal Site
TLS,EAS,Timor-Leste,LMC,3765074847,44,6,10,9,11,17,4,,,,Yes,Yes,Yes,,1268671,,,3600,,,54,63875,,,,,,,,,,,,,,,,,,,,,,,,
TON,EAS,Tonga,UMC,406237705,51,6,9,9,7,13,4,,,,Yes,Yes,Yes,,104951,,,300,,,102,17238,,,,25,,,71,,,,,65,,,,,40,,,,,60,,
TTO,LCN,Trinidad and Tobago,HIC,21519942195,27,10,4,17,23,19,,,,Yes,Yes,Yes,Yes,Yes,1328100,,,71,123914,,251,727874,,,,,,,94,,,,,,,1,12,,,84,,,,3,,Disposal Site
TUN,MEA,Tunisia,LMC,48682059522,68,2,4,5,10,11,,,,Yes,Yes,Yes,Yes,Yes,11143908,4033000,,90000,150000,116000,16000,2700000,,,5,,,,65,,,,80,,,5,,,70,21,,4,,,,Disposal site
TUR,ECS,Turkey,UMC,1122511654796,64,2,1,24,6,3,,,,,Yes,Yes,Yes,,78271472,,,623000,3432426,,,31283000,,,,,,,,88,,,,,,1,,,,44,,,54,1,,
TUV,EAS,Tuvalu,UMC,39216157,44,6,10,9,11,17,4,,,None,Yes,Yes,None,,11097,,,10,,,6,3989,,,,,,,47,,,,100,,,,,,,15,,15,,71,,
TWN,EAS,,HIC,,23,4,3,14,30,20,1,,4,,,Yes,Yes,,23434000,,,14036,,,,7336000,,,,,,,,,,,,,,,,64,35,,1,,,,,
TZA,SSF,Tanzania,LIC,46775259596,,,,,,,,,,,,Yes,,,49082997,,,38000,,,,9276995,,,,,,,,,,,,,,,,,,69,23,,,9,,
UGA,SSF,Uganda,LIC,27483055272,75,1,1,11,6,8,,,,,,,,,35093648,,,25000,,,,7045050,,,,,,,,38,,,,,,,,,,87,,6,7,,,
UKR,ECS,Ukraine,LMC,124000201623,37,5,4,22,25,7,,,,Yes,Yes,Yes,Yes,,45004645,8600000,1400000,277000,448000000,587000,,15242025,,,,,,,76,,,,,,,,,3,94,,,3,,,,Other
URY,LCN,Uruguay,HIC,48362932954,54,3,5,8,20,11,,,,No,Yes,Yes,Yes,,3431552,,,37000,,,,1260140,,,,,,,98,,,,100,,,,62,,,18,,8,11,2,,
USA,NAC,United States,HIC,16920327941800,15,4,9,3,27,13,10,6,13,Yes,Yes,Yes,Yes,Yes,318563456,,534000000,2440000,28800000,7600000000,2600000,258000000,,,,,,,100,,,,,,,,,13,53,,,35,,,,
UZB,ECS,Uzbekistan,LMC,62469088152,40,3,2,18,18,3,2,4,,No,Yes,Yes,Yes,,29774500,,,,,,,4000000,,,,,,,,,,,,,,,,,,60,,,,40,,Disposal site
